Month,Borough,Index Price
2019-11,Lambeth,117.7
2019-12,Lambeth,118.2
2020-01,Lambeth,118.8
2020-02,Lambeth,118.0
2020-03,Lambeth,117.3
2020-06,Lambeth,117.8
2020-07,Lambeth,121.8
2020-08,Lambeth,122.4
2020-09,Lambeth,125.3
2019-06,Lewisham,119.0
2019-07,Lewisham,120.8
2019-08,Lewisham,122.5
2019-09,Lewisham,123.5
2019-10,Lewisham,123.8
2019-11,Lewisham,122.2
2019-12,Lewisham,121.5
2020-01,Lewisham,119.7
2020-02,Lewisham,120.7
2020-03,Lewisham,121.0
2020-06,Lewisham,125.0
2020-07,Lewisham,124.4
2020-08,Lewisham,123.6
2020-09,Lewisham,127.1
2019-06,Newham,129.4
2019-07,Newham,129.1
2019-08,Newham,130.1
2019-09,Newham,132.6
2019-10,Newham,133.0
2019-11,Newham,130.6
2019-12,Newham,129.8
2020-01,Newham,132.0
2020-02,Newham,135.0
2020-03,Newham,135.0
2020-06,Newham,134.0
2020-07,Newham,135.0
2020-08,Newham,136.3
2020-09,Newham,137.6
2019-06,Redbridge,125.7
2019-07,Redbridge,127.7
2019-08,Redbridge,129.6
2019-09,Redbridge,127.4
2019-10,Redbridge,126.7
2019-11,Redbridge,127.3
2019-12,Redbridge,130.6
2020-01,Redbridge,129.5
2020-02,Redbridge,128.5
2020-03,Redbridge,129.4
2020-06,Redbridge,127.4
2020-07,Redbridge,128.4
2020-08,Redbridge,130.3
2020-09,Redbridge,132.9
2019-06,Richmond upon Thames,110.1
2019-07,Richmond upon Thames,110.9
2019-08,Richmond upon Thames,110.9
2019-09,Richmond upon Thames,109.3
2019-10,Richmond upon Thames,108.5
2019-11,Richmond upon Thames,109.7
2019-12,Richmond upon Thames,110.5
2020-01,Richmond upon Thames,111.8
2020-02,Richmond upon Thames,111.0
2020-03,Richmond upon Thames,111.0
2020-06,Richmond upon Thames,117.6
2020-07,Richmond upon Thames,117.2
2020-08,Richmond upon Thames,118.0
2020-09,Richmond upon Thames,116.3
2019-06,Sutton,120.9
2019-07,Sutton,121.5
2019-08,Sutton,120.0
2019-09,Sutton,121.3
2019-10,Sutton,120.3
2019-11,Sutton,121.9
2019-12,Sutton,121.1
2020-01,Sutton,120.8
2020-02,Sutton,121.3
2020-03,Sutton,121.7
2020-06,Sutton,120.7
2020-07,Sutton,121.1
2020-08,Sutton,123.4
2020-09,Sutton,125.6
2019-06,Wandsworth,103.8
2019-07,Wandsworth,105.7
2019-08,Wandsworth,106.9
2019-09,Wandsworth,109.3
2019-10,Wandsworth,108.5
2019-11,Wandsworth,108.6
2019-12,Wandsworth,109.3
2020-01,Wandsworth,109.3
2020-02,Wandsworth,110.2
2020-03,Wandsworth,110.3
2020-06,Wandsworth,105.0
2020-07,Wandsworth,106.8
2020-08,Wandsworth,110.5
2020-09,Wandsworth,111.2
2019-06,Westminster,101.9
2019-07,Westminster,97.1
2019-08,Westminster,92.8
2019-09,Westminster,94.5
2019-10,Westminster,95.0
2019-11,Westminster,97.8
2019-12,Westminster,98.4
2020-01,Westminster,103.3
2020-02,Westminster,103.4
2020-03,Westminster,102.1
2020-06,Westminster,98.5
2020-07,Westminster,93.9
2020-08,Westminster,98.8
2020-09,Westminster,94.7
